Date,Price,Open,High,Low,Vol.,Change %
13-May-10,480.63,490.63,492.75,477.88,-,-2.01%
12-May-10,490.5,493.25,508.13,490.38,-,-0.63%
11-May-10,493.63,493.25,497.88,489.13,-,-0.05%
10-May-10,493.88,508,514.38,491.63,-,-2.80%
09-May-10,508.13,510.88,511.75,506.13,-,-0.05%
07-May-10,508.38,503.5,516.88,498.75,-,0.94%
06-May-10,503.63,512,513.88,500.38,-,-1.71%
05-May-10,512.38,512.63,513.13,502.38,-,0.00%
04-May-10,512.38,500.5,513,493.38,-,2.40%
03-May-10,500.38,502,507.5,491.63,-,-0.94%
30-Apr-10,505.13,495.13,505.13,493.38,-,1.99%
29-Apr-10,495.25,489.63,507.38,488.88,-,1.10%
28-Apr-10,489.88,489.63,495.88,482.38,-,0.03%
27-Apr-10,489.75,488.13,492.88,484.88,-,0.28%
26-Apr-10,488.38,505.88,514.63,485.63,-,-3.34%
25-Apr-10,505.25,503.63,506.13,503.25,-,-0.35%
23-Apr-10,507,508.38,511.88,502.13,-,-0.29%
22-Apr-10,508.5,499.75,511.63,493.13,-,1.78%
